Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1760929531,5,,Aggregated,4.000000,0.000000,14,21,62,75,690,2500,3600,3600,3600,3600,3600,97,0,14,245.0966257731958,8.498999999996926,3584.0571000000004,1570.1237113402062
1760929532,5,,Aggregated,4.000000,0.000000,14,19,62,75,690,2500,3600,3600,3600,3600,3600,99,0,14,240.3426474747474,8.498999999996926,3584.0571000000004,1592.79797979798
1760929533,5,,Aggregated,3.300000,0.000000,14,19,40,73,340,940,3600,3600,3600,3600,3600,101,0,14,235.80856138613856,8.498999999996926,3584.0571000000004,1642.069306930693
1760929534,5,,Aggregated,3.300000,0.000000,14,19,40,73,340,940,3600,3600,3600,3600,3600,104,0,14,229.2919038461538,8.498999999996926,3584.0571000000004,1685.7211538461538
1760929535,5,,Aggregated,3.500000,0.000000,14,18,39,72,340,940,3600,3600,3600,3600,3600,109,0,14,219.8708137614678,7.974499999995999,3584.0571000000004,1635.165137614679
1760929536,5,,Aggregated,3.000000,0.000000,14,18,39,70,250,940,3600,3600,3600,3600,3600,111,0,14,216.12577387387378,7.6609000000047445,3584.0571000000004,1654.2162162162163
1760929537,5,,Aggregated,3.000000,0.000000,14,19,62,70,250,940,3600,3600,3600,3600,3600,115,0,14,210.44705565217382,7.6609000000047445,3584.0571000000004,1634.8608695652174
1760929538,5,,Aggregated,3.000000,0.000000,14,19,62,70,250,940,3600,3600,3600,3600,3600,119,0,14,204.8333218487394,7.6609000000047445,3584.0571000000004,1593.4705882352941
1760929539,5,,Aggregated,3.300000,0.000000,14,19,40,69,230,930,3600,3600,3600,3600,3600,126,0,14,194.79951428571422,7.6609000000047445,3584.0571000000004,1570.8412698412699
1760929540,5,,Aggregated,3.200000,0.000000,14,19,40,69,130,930,3600,3600,3600,3600,3600,131,0,14,188.29039541984733,7.6609000000047445,3584.0571000000004,1575.557251908397
1760929541,5,,Aggregated,3.200000,0.000000,14,19,40,69,130,930,3600,3600,3600,3600,3600,132,0,14,186.92781590909087,7.6609000000047445,3584.0571000000004,1594.5378787878788
1760929542,5,,Aggregated,4.000000,0.000000,14,18,39,69,130,930,3600,3600,3600,3600,3600,137,0,14,181.16876788321164,7.6609000000047445,3584.0571000000004,1577.912408759124
1760929543,5,,Aggregated,3.900000,0.000000,14,18,39,69,130,930,3600,3600,3600,3600,3600,139,0,14,178.70209784172658,7.6609000000047445,3584.0571000000004,1573.9712230215828
1760929544,5,,Aggregated,3.600000,0.000000,14,18,39,67,110,890,3600,3600,3600,3600,3600,143,0,14,174.38572447552446,7.6609000000047445,3584.0571000000004,1560.6503496503497
1760929545,5,,Aggregated,3.800000,0.000000,14,17,32,67,110,890,3600,3600,3600,3600,3600,145,0,14,172.10027517241377,7.6609000000047445,3584.0571000000004,1557.1103448275862
1760929546,5,,Aggregated,3.500000,0.000000,14,18,32,67,110,890,3600,3600,3600,3600,3600,148,0,14,169.0512081081081,7.6609000000047445,3584.0571000000004,1570.7432432432433
1760929547,5,,Aggregated,3.500000,0.000000,14,18,28,67,110,890,3600,3600,3600,3600,3600,150,0,14,166.9185806666667,7.6609000000047445,3584.0571000000004,1604.2133333333334
1760929548,5,,Aggregated,3.600000,0.000000,14,17,28,66,110,890,3600,3600,3600,3600,3600,154,0,14,162.852411038961,7.6609000000047445,3584.0571000000004,1632.4805194805194
1760929549,5,,Aggregated,3.400000,0.000000,14,17,28,63,110,890,3600,3600,3600,3600,3600,156,0,14,160.88414038461536,7.6609000000047445,3584.0571000000004,1663.871794871795
1760929550,5,,Aggregated,3.100000,0.000000,14,17,28,63,110,890,3600,3600,3600,3600,3600,160,0,13,157.08934437499994,7.6609000000047445,3584.0571000000004,1706.94375
1760929551,5,,Aggregated,3.100000,0.000000,14,17,28,63,110,890,3600,3600,3600,3600,3600,160,0,13,157.08934437499994,7.6609000000047445,3584.0571000000004,1706.94375
1760929552,5,,Aggregated,2.600000,0.000000,13,17,25,63,100,710,3600,3600,3600,3600,3600,165,0,13,153.0907084848484,7.6609000000047445,3584.0571000000004,1689.7333333333333
1760929553,5,,Aggregated,2.800000,0.000000,13,16,25,62,100,710,3600,3600,3600,3600,3600,168,0,13,150.51220357142847,7.6609000000047445,3584.0571000000004,1699.375
1760929554,5,,Aggregated,2.500000,0.000000,13,16,25,62,100,710,3600,3600,3600,3600,3600,170,0,13,148.83796235294105,7.6609000000047445,3584.0571000000004,1727.394117647059
1760929555,5,,Aggregated,2.900000,0.000000,13,16,25,60,99,710,3600,3600,3600,3600,3600,176,0,13,144.51921988636354,7.653300000001195,3584.0571000000004,1708.2727272727273
1760929556,5,,Aggregated,2.900000,0.000000,13,16,25,60,99,710,3600,3600,3600,3600,3600,178,0,12,143.00767134831452,7.653300000001195,3584.0571000000004,1734.9325842696628
1760929557,5,,Aggregated,2.900000,0.000000,12,16,25,60,99,710,3600,3600,3600,3600,3600,180,0,12,141.5200255555555,7.653300000001195,3584.0571000000004,1761.0
